# name RA(deg) Dec(deg) r_petro r_auto z_tonry z_spec M_r r_e(arcsec) <mu(re)>(mag/arcsec^2) mu(re)(mag/arcsec^2) mu(2re)(mag/arcsec^2) ellip PA(deg) log(M*/Msol) g-i A_g CATAID SURV_SAMI tile blue_cube red_cube
J084445.41+021107.8 131.18920984 2.18550531 15.781 15.801 0.07548 0.07444 -21.96 4.17 20.16 21.40 23.00 0.5116 3.28 10.95 1.30 0.244 386268 8 Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/386268/386268_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/386268/386268_red_7_Y13SAR1_P005_09T009.fits.gz
J084458.94+020305.9 131.24559559 2.05165301 16.167 16.153 0.05193 0.05091 -20.70 1.94 19.41 20.54 22.17 0.2758 93.58 10.26 1.00 0.316 345820 8 Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/345820/345820_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/345820/345820_red_7_Y13SAR1_P005_09T009.fits.gz
J084459.22+022834.8 131.24677756 2.47634811 15.981 15.942 0.05064 0.04962 -20.88 6.76 21.02 22.49 24.06 0.5711 8.36 10.36 1.02 0.154 517164 8 Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/517164/517164_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/517164/517164_red_7_Y13SAR1_P005_09T009.fits.gz
J084517.68+021650.0 131.32368836 2.28056380 17.036 17.021 0.05106 0.05004 -19.81 2.87 21.31 22.58 24.18 0.0120 11.30 10.09 1.22 0.212 417486 8 Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/417486/417486_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/417486/417486_red_7_Y13SAR1_P005_09T009.fits.gz
J084531.79+022833.1 131.38247114 2.47587250 15.311 15.188 0.07756 0.07651 -22.64 6.76 21.10 22.43 24.01 0.2140 160.43 11.24 1.31 0.165 517205 8 Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/517205/517205_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/517205/517205_red_7_Y13SAR1_P005_09T009.fits.gz
J084637.68+023651.7 131.65702678 2.61436443 19.000 19.027 0.02935 0.02837 -16.47 3.26 22.86 23.93 25.57 0.4153 29.84 8.32 0.66 0.164 422639 8 Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/422639/422639_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/422639/422639_red_7_Y13SAR1_P005_09T009.fits.gz
J084643.64+015035.9 131.68184337 1.84332000 16.431 16.191 0.05100 0.04997 -20.68 5.64 21.11 21.80 23.63 0.6648 53.63 10.49 1.29 0.167 381215 8 Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/381215/381215_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/381215/381215_red_7_Y13SAR1_P005_09T009.fits.gz
J084654.29+023336.2 131.72621540 2.56007097 15.317 15.314 0.02971 0.02871 -20.29 5.31 20.52 21.78 23.38 0.3003 59.69 10.18 1.06 0.172 517302 8 Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/517302/517302_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/517302/517302_red_7_Y13SAR1_P005_09T009.fits.gz
J084715.49+015344.0 131.81455082 1.89556314 15.973 15.902 0.05102 0.04999 -20.90 4.30 20.75 22.19 23.76 0.1838 59.06 10.49 1.18 0.142 381229 8 Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/381229/381229_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/381229/381229_red_7_Y13SAR1_P005_09T009.fits.gz
J084728.99+021637.5 131.87080351 2.27709609 18.394 18.399 0.02939 0.02840 -17.13 2.25 22.00 22.58 24.52 0.1980 2.36 8.68 0.78 0.128 417568 8 Y13SAR1_P005_09T009 http://sami-survey.org/edr/data/417568/417568_blue_7_Y13SAR1_P005_09T009.fits.gz http://sami-survey.org/edr/data/417568/417568_red_7_Y13SAR1_P005_09T009.fits.gz
