AGCNr,Name,HIra,HIdec,OCra,OCdec,v21,w50,werr,flux,fluxerr,snratio,rms,dist,loghimass,detcode
311321,"HIdetHVC", 326.127930,  34.989723,   0.000000,   0.000000, -336, 24,  0,  6.62,0.16, 20.7,13.57,   0.0, 0.00,9
311337,"HIdetHVC", 326.355011,  20.348612,   0.000000,   0.000000, -327, 22,  0,  0.89,0.03, 14.5, 2.75,   0.0, 0.00,9
311338,"HIdetHVC", 326.613312,  20.491388,   0.000000,   0.000000, -292, 27,  1,  1.23,0.03, 17.0, 2.80,   0.0, 0.00,9
311322,"HIdetHVC", 326.800415,  35.691391,   0.000000,   0.000000, -331, 23,  0,  9.99,0.13, 38.6,11.32,   0.0, 0.00,9
 11813,"        ", 326.879181,  22.165277, 326.879181,  22.163889, 1838, 98,  2,  4.69,0.06, 47.3, 2.22,  29.3, 8.98,1
 11815,"N7137   ", 327.057495,  22.160278, 327.054565,  22.159445, 1689,100, 11,  8.17,0.08, 77.7, 2.34,  27.1, 9.15,1
 11820,"M+255015", 327.373352,  14.227221, 327.368774,  14.230833, 1104,116,  2, 25.90,0.08,215.4, 2.49,  18.2, 9.31,1
311339,"HIdetHVC", 327.457520,  12.277778,   0.000000,   0.000000, -333, 22,  0,  2.94,0.05, 30.2, 4.50,   0.0, 0.00,9
310861,"HIdetHVC", 327.738770,  27.879168,   0.000000,   0.000000, -424, 24,  0,  2.17,0.03, 34.5, 2.43,   0.0, 0.00,9
310862,"HIdetHVC", 327.792084,  28.640556,   0.000000,   0.000000, -420, 25,  0,  5.99,0.05, 60.9, 3.50,   0.0, 0.00,9
310863,"HIdetHVC", 327.818329,  28.063334,   0.000000,   0.000000, -420, 29,  1,  2.45,0.06, 21.1, 4.13,   0.0, 0.00,9
310864,"HIdetHVC", 327.940430,  27.869444,   0.000000,   0.000000, -419, 21,  0,  1.55,0.03, 28.2, 2.37,   0.0, 0.00,9
311340,"HIdetHVC", 327.997498,  20.410833,   0.000000,   0.000000, -366, 19,  1,  0.69,0.03, 12.5, 2.48,   0.0, 0.00,9
311194,"HIdetHVC", 328.041656,   6.847778,   0.000000,   0.000000,  -96, 25,  0,  5.39,0.06, 45.1, 4.91,   0.0, 0.00,9
312297,"rgmph   ", 328.232910,  13.561389, 328.230835,  13.560000, 1721, 23,  3,  0.91,0.04, 17.1, 2.32,  27.2, 8.20,1
311341,"HIdetHVC", 328.365021,  11.872500,   0.000000,   0.000000, -305, 19,  1,  0.87,0.04, 11.3, 3.57,   0.0, 0.00,9
311146,"HIdetHVC", 328.420013,   2.045556,   0.000000,   0.000000, -303, 24,  0,  4.75,0.05, 42.4, 4.69,   0.0, 0.00,9
310851,"HIdetHVC", 328.539978,  31.213335,   0.000000,   0.000000, -323, 23,  4,  3.01,0.15, 16.1, 8.23,   0.0, 0.00,9
310823,"        ", 328.575409,   0.948333, 328.574982,   0.942222, 2972,190, 13,  1.39,0.09,  7.8, 2.87,  44.7, 8.82,1
311342,"HIdetHVC", 328.715393,  20.777500,   0.000000,   0.000000, -326, 28,  1,  1.29,0.05, 12.3, 4.33,   0.0, 0.00,9
749023,"HIdetHVC", 328.792480,  14.878889,   0.000000,   0.000000, -334, 33,  7,  0.45,0.05,  6.9, 2.48,   0.0, 0.00,9
749024,"HIdetHVC", 328.869568,  14.747223,   0.000000,   0.000000, -335, 48,  8,  0.40,0.05,  5.4, 2.36,   0.0, 0.00,9
311343,"HIdetHVC", 328.997070,  20.842501,   0.000000,   0.000000, -320, 23,  0,  1.53,0.04, 18.4, 3.66,   0.0, 0.00,9
748666,"        ", 329.260010,  13.801111, 329.263336,  13.802500, 1691,136,  6,  3.82,0.06, 32.1, 2.27,  26.7, 8.81,1
310865,"HIdetHVC", 329.503754,  28.620556,   0.000000,   0.000000, -438, 22,  1,  0.80,0.03, 11.4, 2.69,   0.0, 0.00,9
 11860,"M+451014", 329.503754,  24.266111, 329.498749,  24.266388, 3126,171, 22,  5.27,0.09, 35.6, 2.52,  47.6, 9.45,1
311154,"        ", 329.575439,  21.367779, 329.571686,  21.355833, 1844,135,  4,  2.39,0.10, 13.6, 3.37,  29.1, 8.68,1
 11866,"428-006 ", 329.643738,  14.118055, 329.641693,  14.122222, 1703, 94,  3, 18.46,0.07,178.4, 2.37,  26.9, 9.50,1
311344,"HIdetHVC", 329.670837,  20.457779,   0.000000,   0.000000, -318, 17,  0,  1.31,0.03, 18.1, 3.08,   0.0, 0.00,9
310467,"AHISS   ", 329.767517,  14.245556, 329.773743,  14.238889, 1720, 34,  2,  0.79,0.04, 14.4, 2.02,  27.1, 8.14,1
 11868,"IIZw168 ", 329.769165,  18.182777, 329.769562,  18.176945, 1092,115,  2, 10.51,0.06,110.2, 1.98,  18.0, 8.91,1
311147,"HIdetHVC", 329.792908,  22.380833,   0.000000,   0.000000, -331, 22,  0,  0.81,0.03, 12.9, 2.83,   0.0, 0.00,9
311345,"HIdetHVC", 329.829590,  20.412777,   0.000000,   0.000000, -325, 22,  1,  2.48,0.05, 23.0, 4.42,   0.0, 0.00,9
310866,"HIdetHVC", 329.869995,  28.846668,   0.000000,   0.000000, -381, 27,  1,  0.70,0.05,  7.8, 3.56,   0.0, 0.00,9
311346,"HIdetHVC", 329.997070,  20.647778,   0.000000,   0.000000, -315, 21,  0,  5.84,0.06, 41.2, 5.89,   0.0, 0.00,9
322800,"HIdetHVC", 330.004181,  20.943888,   0.000000,   0.000000, -317, 20,  0,  7.05,0.06, 61.7, 5.54,   0.0, 0.00,9
322406,"HIdetHVC", 330.083740,   7.528333,   0.000000,   0.000000,  -85, 38,  1, 10.22,0.08, 57.0, 5.94,   0.0, 0.00,9
 11872,"N7177   ", 330.170837,  17.735001, 330.171265,  17.737778, 1150,295,  2, 24.34,0.13,102.7, 3.08,  18.8, 9.31,1
321318,"HIdetHVC", 330.230835,  24.752777,   0.000000,   0.000000, -345, 29, 14,  2.20,0.18, 11.4, 7.69,   0.0, 0.00,9
321319,"HIdetHVC", 330.363312,  24.996389,   0.000000,   0.000000, -371, 20,  9,  1.15,0.11,  9.8, 5.42,   0.0, 0.00,9
 11880,"I1420a  ", 330.627899,  19.751667, 330.631653,  19.750278, 1639, 48,  3,  6.99,0.06, 97.2, 2.27,  26.0, 9.05,1
321998,"        ", 330.777924,   0.070556, 330.772461,   0.070278, 3000,130,  7,  2.06,0.07, 15.9, 2.53,  44.8, 8.99,1
322279,"mph     ", 330.817078,  17.791666, 330.820007,  17.795555, 1272, 43,  3,  1.25,0.07, 10.5, 3.99,  20.5, 8.10,1
321304,"        ", 330.962891,  25.449720, 330.962891,  25.442221, 2692,142, 26,  1.86,0.08, 15.7, 2.22,  41.3, 8.87,1
749025,"HIdetHVC", 331.235016,  14.963889,   0.000000,   0.000000,   45, 15,  0,  1.09,0.03, 20.7, 2.72,   0.0, 0.00,9
322407,"HIdetHVC", 331.322083,   6.898333,   0.000000,   0.000000, -102, 34,  3,  3.15,0.08, 18.7, 6.20,   0.0, 0.00,9
322487,"mphrg   ", 331.502502,  33.770279, 331.505005,  33.761944,  980, 35,  3,  0.80,0.05, 12.1, 2.41,  16.5, 7.71,1
321265,"        ", 331.552490,   1.055000, 331.548767,   1.052500, 2929, 87,  2,  2.58,0.07, 20.8, 2.96,  43.8, 9.07,1
322082,"HIdetHVC", 331.592926,  22.672499,   0.000000,   0.000000, -402, 20,  1,  0.55,0.03,  9.7, 2.48,   0.0, 0.00,9
 11908,"M+356010", 331.647919,  16.053055, 331.646271,  16.054998, 1770, 62,  2,  6.49,0.05, 81.8, 2.24,  27.7, 9.07,1
322801,"HIdetHVC", 331.790009,  17.492779,   0.000000,   0.000000, -405, 18,  0,  1.08,0.03, 17.2, 3.01,   0.0, 0.00,9
322238,"HIdetHVC", 331.824158,   7.894166,   0.000000,   0.000000, -293, 20,  0,  0.76,0.04, 11.5, 3.30,   0.0, 0.00,9
322802,"HIdetHVC", 331.906677,   4.880278,   0.000000,   0.000000, -288, 37,  0,  5.88,0.09, 34.0, 6.34,   0.0, 0.00,9
322239,"HIdetHVC", 331.957520,   8.646111,   0.000000,   0.000000, -322, 23,  4,  0.49,0.03,  8.0, 2.72,   0.0, 0.00,9
 11914,"N7217   ", 331.969574,  31.360279, 331.968750,  31.359167,  952,309,  2, 10.49,0.10, 59.9, 2.23,  16.0, 8.80,1
322240,"HIdetHVC", 331.999603,   8.196944,   0.000000,   0.000000, -292, 24,  6,  0.99,0.04, 12.2, 3.42,   0.0, 0.00,9
322083,"HIdetHVC", 332.035431,  22.616388,   0.000000,   0.000000, -395, 24,  2,  0.41,0.03,  7.2, 2.45,   0.0, 0.00,9
 11916,"451-011 ", 332.090393,  18.459723, 332.090393,  18.453890, 1142,145,  3,  5.68,0.11, 30.7, 3.43,  18.6, 8.66,1
322241,"HIdetHVC", 332.111664,   8.953333,   0.000000,   0.000000, -326, 27,  6,  1.40,0.04, 17.6, 3.32,   0.0, 0.00,9
322242,"HIdetHVC", 332.112091,   8.960000,   0.000000,   0.000000, -327, 26,  1,  1.54,0.04, 20.1, 3.07,   0.0, 0.00,9
322803,"HIdetHVC", 332.122894,  17.207779,   0.000000,   0.000000, -420, 20,  0,  3.11,0.06, 28.8, 5.22,   0.0, 0.00,9
322804,"HIdetHVC", 332.306671,  17.281111,   0.000000,   0.000000, -416, 20,  0,  1.58,0.04, 18.8, 3.74,   0.0, 0.00,9
 11921,"428-037 ", 332.312500,  14.361667, 332.313751,  14.360278, 1674,150,  2,  9.08,0.07, 74.3, 2.22,  26.2, 9.17,1
 11926,"M+356015", 332.374176,  18.674999, 332.379578,  18.681389, 1650, 94,  2,  8.00,0.09, 55.7, 3.30,  26.0, 9.10,1
322805,"HIdetHVC", 332.540833,  19.980001,   0.000000,   0.000000, -356, 26,  1,  0.55,0.04,  7.3, 3.28,   0.0, 0.00,9
