GAMA name, SAMI coord, calculated HI gas mass upper limits (1e6 M_sun), actual HI gas mass (1e6 M_sun), R_e Halpha (arcsec), R_e Optical (arcsec), R_e(Halpha)/R_e(Optical)
386268, (131.18920984, 2.18550531), 23978, - , - , 4.17, -
345820, (131.24559559, 2.05165301), 10851, - , - , 1.94, -
517164, (131.24677756, 2.47634811), 10289, - , - , 6.76, -
417486, (131.32368836, 2.2805638), 10470, - , - , 2.87, -
517205, (131.38247114, 2.4758725), 25402, - , - , 6.76, -
422639, (131.65702678, 2.61436443), 3261, - , 2.33, 3.26, 0.71
381215, (131.68184337, 1.84332), 10440, - , 3.00, 5.64, 0.53
517302, (131.7262154, 2.56007097), 3341, - , 1.94, 5.31, 0.37
381229, (131.81455082, 1.89556314), 10448, - , - , 4.30, -
417568, (131.87080351, 2.27709609), 3268, - , 2.20, 2.25, 0.98
422683, (131.88075027, 2.7356685), 3186, - , 3.89, 3.61, 1.08
417580, (132.10673934, 2.28780776), 6459, - , - , 3.07, -
209181, (132.12519777, 0.17087478), 14277, - , 6.82, 4.31, 1.58
599582, (132.19011347, 0.29151858), 11804, - , 7.57, 9.60, 0.79
599689, (132.50669626, 0.22577093), 11041, - , - , 9.23, -
599761, (132.63206755, 0.31906756), 11948, - , 7.79, 6.68, 1.17
599838, (132.79081214, 0.25359158), 6906, - , - , 5.63, -
599877, (132.90223376, 0.27313863), 11556, - , 2.94, 3.35, 0.88
279818, (139.43876422, 1.05542467), 3008, - , 7.51, 7.24, 1.04
302846, (139.64139357, 1.34375941), 3008, - , 7.56, 5.40, 1.40
279891, (139.70831258, 1.02299675), 2281, - , 3.39, 2.36, 1.44
623620, (139.71219156, 0.63996425), 13560, - , 6.70, 8.19, 0.82
377962, (139.7422809, 1.56468554), 5718, - , 2.09, 2.03, 1.03
373173, (139.76734716, 1.17936637), 35096, - , 1.17, 3.85, 0.30
623641, (139.77630112, 0.67763715), 1263, 1120, 7.66, 2.55, 3.00
279886, (139.79332232, 1.05546284), 1332, - , - , 3.54, -
279878, (139.81814651, 1.03629872), 33595, - , - , 4.39, -
373202, (139.92557866, 1.32583201), 1089, - , 6.86, 6.68, 1.03
623679, (139.98309553, 0.64128869), 13426, - , 5.76, 6.08, 0.95
218717, (139.99074404, 0.84559286), 1170, - , 7.86, 8.50, 0.92
279917, (139.99533336, 0.96083571), 1281, 2630, 3.63, 9.78, 0.37
218713, (140.0100024, 0.84420718), 14472, - , 1.79, 1.76, 1.02
373248, (140.0523286, 1.15231833), 1150, - , - , 3.50, -
325390, (140.06483517, 1.78792026), 1143, - , 3.38, 3.35, 1.01
623726, (140.09157464, 0.82339506), 1272, 2690, 8.18, 6.63, 1.23
279943, (140.13109644, 0.93702459), 1357, - , 2.27, 2.41, 0.94
623712, (140.13867311, 0.72105987), 1188, - , 6.17, 7.37, 0.84
302994, (140.14321141, 1.55109987), 1105, - , 3.28, 7.12, 0.46
623722, (140.15506294, 0.82273186), 1266, - , 4.54, 6.61, 0.69
216843, (140.19242092, 0.60472036), 2283, 2630, 3.89, 7.73, 0.50
373284, (140.34916996, 1.1761123), 14508, - , 3.03, 1.84, 1.65
288992, (180.93489846, 1.83597778), 1498, - , - , 5.81, -
230714, (180.9759373, 1.89125907), 2420, - , 6.91, 5.08, 1.36
272831, (181.00820693, 1.44487385), 30562, - , 3.65, 3.75, 0.97
289089, (181.02495228, 1.84697816), 1071, - , - , 4.19, -
220320, (181.03095077, 1.58314929), 2219, - , 1.86, 6.92, 0.27
230776, (181.11277351, 1.89596769), 1557, - , - , 3.05, -
289116, (181.1261504, 1.68400048), 1430, - , 3.32, 5.28, 0.63
289185, (181.1860008, 1.71253656), 1698, - , - , 4.59, -
230829, (181.18902098, 1.9201865), 1544, - , - , 2.18, -
220383, (181.20300479, 1.646487), 1345, - , - , 3.10, -
220371, (181.237152, 1.50824383), 1641, 2040, 7.66, 6.97, 1.10
289200, (181.34198792, 1.83460755), 1192, - , 1.87, 1.67, 1.12
617945, (213.72344654, 0.40730461), 3198, - , 3.23, 1.48, 2.18
617989, (213.86801164, 0.22734304), 12233, - , - , 2.27, -
91924, (214.25699075, 0.47706888), 11570, 17380, 7.02, 9.20, 0.76
91963, (214.36652643, 0.48277548), 10448, - , 2.29, 7.36, 0.31
77710, (214.39621924, 0.1590901), 12432, - , - , 3.11, -
618143, (214.46360194, 0.31950998), 11629, - , - , 3.06, -
91999, (214.50836039, 0.48381333), 11707, - , - , 1.26, -
618152, (214.52287281, 0.22739177), 11999, - , 4.15, 3.56, 1.17
79635, (222.51551376, 0.09749601), 6614, 16220, 7.71, 9.13, 0.84
79693, (222.72741926, 0.02766595), 7690, - , 4.81, 4.40, 1.09
79710, (222.7419792, 0.09218814), 7269, - , 3.16, 3.04, 1.04
79712, (222.80756762, 0.0279597), 2175, - , 2.50, 1.95, 1.28
